Country,Female Participants
USA,1294
CAN,1077
GER,830
ITA,747
JPN,682
SWE,677
RUS,650
NOR,631
FRA,625
SUI,588
AUT,506
CHN,497
FIN,489
POL,431
GBR,355
URS,309
CZE,296
NED,282
UKR,279
KOR,251
KAZ,235
BLR,231
SLO,228
TCH,207
SVK,190
ROU,189
FRG,188
HUN,182
GDR,179
AUS,171
BUL,160
EST,139
ARG,117
ESP,100
LAT,94
YUG,81
EUN,81
PRK,79
NZL,62
LIE,56
CRO,55
LTU,46
ISL,39
DEN,37
BEL,33
AND,29
GRE,28
MDA,22
CHI,21
TUR,21
BRA,21
BIH,20
UZB,16
LIB,16
ARM,16
MGL,13
SRB,13
ISV,12
HKG,11
MON,11
CYP,11
GEO,11
ISR,10
IRL,10
SCG,9
MEX,8
AZE,7
MAR,7
RSA,6
TPE,5
MKD,5
ALG,4
PER,4
IRI,4
KGZ,3
TOG,3
IND,3
POR,3
GUA,3
HON,3
MLT,2
PUR,2
ALB,2
COL,2
VEN,2
LUX,1
PAR,1
SMR,1
THA,1
MNE,1
